Category,Item,Cost,Frequency,Why?
,,,,
SIMULATION & VALIDATION,,,,
Simulation,GPU Simulation Rental (RunPod A100),$100,One-time,"100K+ Isaac Sim episodes to validate Invariant + cell layout before buying equipment."
Simulation,UR10e URDF Model + Haas Enclosure Model,$0,One-time,"Open-source URDF for UR10e. Model Haas enclosure as rigid body in Isaac Sim."
,,,,
CORE EQUIPMENT,,,,
CNC Machine,"Haas VF-2SS (Used, 12K RPM, 30HP)","$55,000",One-time,"The production machine. ~8,000 lbs. 12,000 RPM spindle. 30HP motor. 40x20x20in work envelope."
Cobot,"UR10e Robot (Used, w/ controller + teach pendant)","$35,000",One-time,"12.5kg payload, 1300mm reach, ±0.05mm repeatability. Handles 316L manifold blocks."
Safety Computer,"Beelink Mini PC (""The Guardrail"")","$600",One-time,"Runs Invariant binary on RT Linux kernel. Coordinates cycle. Validates every robot command."
Safety Computer,Surge Protection + UPS for Beelink,$300,One-time,"Graceful safe-stop on power loss. Beelink must never hard-crash mid-cycle."
Networking,Teltonika 5G Cellular Hotspot,$300,One-time,"Outbound-only heartbeat. SMS/email alerting when Invariant triggers safe-stop."
Safety Computer,NEMA Enclosure for Beelink,$250,One-time,"Protects the Beelink from coolant mist, oil, and metal chips."
Safety Computer,Relay Module (Heartbeat E-Stop),$50,One-time,"Normally-closed relay wired to UR10e safety input. Opens on heartbeat loss."
,,,,
WORKHOLDING & END EFFECTOR,,,,
Workholding,"Pneumatic Vise (Kurt DL640 or equiv.)","$4,000",One-time,"Auto-clamp/unclamp for cobot loading. Air-actuated. No manual handle turning."
End Effector,Schunk PGN-plus Parallel Gripper,"$2,500",One-time,"The robot's fingers. Parallel grip for rectangular 316L billets."
Workholding,"Soft Jaws (2 sets, custom for GL-M2 and GL-M4)","$600",One-time,"Machined to match manifold block billet dimensions. Faster setup, better grip."
Workholding,Fixture Plate + Clamp Kit,$400,One-time,"T-slot fixture plate for the Haas table. Holds the pneumatic vise."
,,,,
CHIP & COOLANT MANAGEMENT,,,,
Chips,Chip Conveyor,"$2,000",One-time,"316L chips are long and stringy. They WILL wrap around the robot and jam the machine without this."
Coolant,Coolant Management System,"$1,500",One-time,"Concentration monitoring + auto-fill. 316L requires aggressive coolant that drifts overnight."
Coolant,High-Pressure Coolant Through Spindle (TSC) Upgrade,"$2,500",One-time,"Haas option. Clears chips from deep-drilled manifold passages. Dramatically improves 316L tool life."
,,,,
TOOL BREAKAGE & PROBING,,,,
Probing,Tool Breakage Detection Probe,$800,One-time,"Renishaw or Haas tool probe. Detects broken end mills BEFORE the next cycle. Non-negotiable for lights-out."
Probing,Renishaw OMP40 Spindle Probe,"$3,500",One-time,"In-process part probing. Measures critical port dimensions every N parts to catch drift. Important for manifold sealing surfaces."
,,,,
TOOLING (316L SPECIFIC),,,,
Tooling,"Carbide End Mill Kit (316L rated, 1/8 to 3/4in)","$1,200",One-time,"AlTiN or TiAlN coated. Designed for work-hardening stainless. Initial set."
Tooling,"Carbide Drill Set (316L rated, #1-1/2in)","$800",One-time,"For cross-drilling manifold passages. Parabolic flute for chip evacuation."
Tooling,BT40 Toolholder Set (20 holders),"$2,000",One-time,"Match the Haas spindle taper. Enough for full ATC loadout."
Tooling,Thread Mill Set (NPT + SAE port threads),$400,One-time,"For threading manifold ports. NPT and SAE straight thread."
Tooling,Chamfer Mill Set,$200,One-time,"Deburr port entries and edges in-machine."
,,,,
INSPECTION & METROLOGY,,,,
Inspection,Mitutoyo Digital Calipers (6in),$150,One-time,"0.0005in resolution. Daily use."
Inspection,Mitutoyo Outside Micrometer Set (0-3in),$250,One-time,"Critical port and wall thickness dimensions."
Inspection,Mitutoyo Bore Micrometer Set,$350,One-time,"Internal port diameter measurement."
Inspection,Surface Roughness Tester (Mitutoyo SJ-210),"$1,500",One-time,"Ra measurement on sealing surfaces. Critical for manifold quality."
Inspection,Pin Gauge Set (fractional + metric),$300,One-time,"Go/no-go verification for drilled port diameters."
Inspection,Thread Gauge Set (NPT + SAE),$200,One-time,"Go/no-go for threaded ports."
Inspection,Granite Surface Plate (12x18in),$200,One-time,"Flat reference surface for inspection."
Inspection,First-Article CMM Service (external lab),$500,One-time,"Send first GL-M2 and GL-M4 to a metrology lab for independent verification."
,,,,
SAFETY & FIRE SUPPRESSION,,,,
Safety,"Fire Extinguisher, Class ABC (2x)","$150",One-time,"One near machine, one near door. Standard shop safety."
Safety,"Fire Suppression, Haas Machine Enclosure (CO2 or dry chem auto-release)","$800",One-time,"Auto-triggers on heat/flame inside machine enclosure. For unattended operation."
Safety,"Fire Suppression, Ceiling-Mount (shop-wide)","$500",One-time,"General shop fire suppression. Landlord/insurance may require."
Safety,Smoke/Heat Detector (connected to alerting),$100,One-time,"Triggers SMS alert via Teltonika if smoke detected."
Safety,First Aid Kit + Eye Wash Station,$150,One-time,"OSHA requirement for any shop."
Safety,Safety Glasses + Hearing Protection (PPE),$100,One-time,"For when you're on-site machining or inspecting."
Safety,Floor Mats (anti-fatigue + anti-slip),$200,One-time,"Around machine and workbench."
,,,,
MONITORING & CAMERAS,,,,
Monitoring,Security Cameras (3x WiFi - machine + door + overview),$300,One-time,"Remote monitoring from home. Also records incidents for debugging."
Monitoring,Shop Lighting (LED high-bay 4x),$400,One-time,"Good lighting for inspection and cameras. Also helps camera clarity at night."
,,,,
SHOP INFRASTRUCTURE,,,,
Infrastructure,Workbench (6ft heavy-duty),$400,One-time,"Deburring, inspection, packing station."
Infrastructure,Shelving (2x heavy-duty metal),$300,One-time,"Raw material storage, finished parts staging, tooling storage."
Infrastructure,Shipping Station (scale + label printer + supplies),$250,One-time,"FedEx scale, thermal label printer, tape gun, boxes."
Infrastructure,Shop Air Compressor (60-gallon 2-stage),"$1,200",One-time,"Powers pneumatic vise. 60-gal for consistent pressure."
Infrastructure,Air Dryer + Filter,$400,One-time,"Dry clean air for pneumatic vise. Prevents moisture in air lines."
Infrastructure,Leveling/Anchoring Kit,"$1,500",One-time,"Level pads + anchor bolts. Proper leveling = better surface finish in 316L."
Infrastructure,Deburring Tools (files + deburring tool set),$150,One-time,"Manual deburring of manifold ports and edges."
Infrastructure,Parts Washer (small solvent or aqueous),$500,One-time,"Clean coolant/oil off finished parts before inspection and shipping."
,,,,
MOVE-IN & SETUP SERVICES,,,,
Consultant,"Forklift Rigger (professional, insured)","$5,000",One-time,"Move 8,000 lb Haas off truck, through 14ft door, onto floor. Level and anchor. MUST be professional."
Consultant,Electrician (3-phase hookup verification),$500,One-time,"Verify 480V 3-phase connection. Wire machine disconnect. Certify to code."
Consultant,"Safety Inspector (OSHA compliance review, initial)","$1,000",One-time,"Walk the shop before production. Verify fire suppression, exits, PPE station, electrical. Peace of mind."
Consultant,"Insurance Broker (GL + equipment + product liability)","$0",One-time,"Free consultation. They earn commission on the policy."
Consultant,Accountant (CPA - business setup + tax strategy),$500,One-time,"Set up books. Advise on self-employed 401k. Quarterly estimated taxes. SD has no state income tax."
,,,,
LEGAL & BUSINESS FORMATION,,,,
Legal,LLC Formation (Northwest Registered Agent),$225,One-time,"Good Luck LLC. South Dakota. Includes registered agent service year 1."
Legal,Northwest Registered Agent (annual renewal),$125,Annual,"Registered agent service. Required for SD LLC."
Legal,SD Annual Report,$50,Annual,"Required annually by South Dakota Secretary of State."
Legal,EIN (IRS),$0,One-time,"Free from IRS. Required for business bank account."
Legal,Business Bank Account,$0,One-time,"Free with most banks. Keep business/personal separate."
,,,,
RECURRING MONTHLY EXPENSES,,,,
Space,Industrial Bay Rent (800-1200 sq ft),"$1,500",Monthly,"3-phase 480V, 14ft overhead door, 6in reinforced slab. Tea/SF industrial park."
Materials,316L Stainless Billet Stock (monthly),"$3,000",Monthly,"Raw material. Scales with production. Pre-cut billets from Ryerson or MetalsDepot."
Consumables,"Tooling Replacement (end mills, drills, inserts)","$1,500",Monthly,"316L eats tools. Carbide inserts and end mills are the main consumable."
Consumables,"Coolant, cutting fluid, deburring supplies",$100,Monthly,"Coolant concentrate, deburring blades, shop rags."
Shipping,"FedEx Ground (postage, ~40-60 packages/month)",$400,Monthly,"Manifold blocks are 4-6 lbs each. Small FedEx boxes."
Shipping,"Shipping Supplies (boxes, bubble wrap, labels)",$50,Monthly,"Monthly restocking of packing materials."
Utilities,Electricity (3-phase industrial),$400,Monthly,"Haas draws 15-20 kW under load. SD power is ~$0.10/kWh."
Utilities,Internet (business),$60,Monthly,"For Shopify, email, remote monitoring, Invariant logs."
Utilities,Water/Sewer,$50,Monthly,"Coolant system requires water."
Insurance,General Liability Insurance,$200,Monthly,"Small manufacturing GL. Covers slip/fall, property damage."
Insurance,Equipment Insurance (inland marine),$150,Monthly,"Covers Haas ($55K) + UR10e ($35K) specifically."
Insurance,Product Liability Insurance,$100,Monthly,"Covers parts you sell. Important for gas/fluid handling components."
Software,Shopify Basic,$30,Monthly,"Product listings for standard manifold blocks."
Software,Domain + Professional Email (goodluckllc.com),$15,Monthly,"Professional email for quoting and invoicing."
Software,"Bookkeeping (Wave free, or QuickBooks $30)",$0,Monthly,"Wave is free. Upgrade to QuickBooks if accountant recommends."
Software,Fusion 360 (Personal/Startup),$0,Monthly,"Free for startups under $100K revenue. CAD + CAM."
Software,Invariant,$0,Monthly,"Your own software. MIT license."
Loan,Equipment Loan Payment (~$90K @ 7% 5yr),"$1,782",Monthly,"Principal + interest on equipment financing."
,,,,
ANNUAL / PERIODIC EXPENSES,,,,
Annual,CPA / Accountant (quarterly taxes + annual return),"$2,000",Annual,"Quarterly estimated tax prep. Annual return. Self-employed 401k admin."
Annual,"Helium Leak Test Service (outsourced, per batch)","$2,400",Annual,"~$50/batch for leak testing manifold blocks. ~4 batches/month."
Annual,Metrology Lab (periodic CMM verification),"$1,000",Annual,"Send parts for independent CMM check 2x/year."
Annual,Machine Maintenance (annual Haas service),"$2,000",Annual,"Preventive maintenance. Way oil, spindle check, axis calibration."
Annual,SD Annual Report + Registered Agent,$175,Annual,"State filing + Northwest Registered Agent renewal."
,,,,
AUTOMOTIVE PRODUCT LINE (add Month 3-6),,,,
Materials,6061-T6 Aluminum Billet Stock (monthly),$500,Monthly,"For automotive manifold blocks. Cheaper than 316L, machines 5x faster."
Materials,7075-T6 Aluminum Bar Stock (monthly),$200,Monthly,"For turbo oil blocks. Higher strength than 6061."
,,,,
YEAR 1 CERTIFICATION (OPTIONAL - RECOMMENDED),,,,
Certification,ISO 9001 Consultant + Registrar Audit,"$10,000","Year 1-2","Opens semiconductor OEM and larger integrator customers. 6-12 month process."
,,,,
YEAR 2-3 SCALING (Second Machine Cell),,,,
Scaling,"Haas VF-2SS #2 (Used)","$55,000","Year 2-3","Second production machine. Same spec."
Scaling,"UR10e #2 (Used)","$35,000","Year 2-3","Second cobot. Same spec."
Scaling,Beelink #2 + UPS + NEMA + Relay,$1,200,"Year 2-3","Second Invariant safety computer. Same hotspot."
Scaling,"Pneumatic Vise #2 + Gripper #2","$6,500","Year 2-3","Second workholding and end effector set."
Scaling,"Chip Conveyor #2 + Coolant System #2","$3,500","Year 2-3","Second machine consumables management."
Scaling,Forklift Rigger (machine #2 move-in),"$5,000","Year 2-3","Move second 8,000 lb Haas into bay."
Scaling,Tooling Set #2 (end mills + drills + holders),"$4,400","Year 2-3","Duplicate tooling for second machine."
Scaling,Total Second Cell,,"~$110,600","Year 2-3 — funded from Year 1-2 profits"
,,,,
YEAR 2-3 INVARIANT APPLIANCE PRODUCT,,,,
Product,Beelink units for resale (batch of 10),"$6,000","Year 2-3","Buy 10 Beelinks at $600 each for Invariant appliance inventory."
Product,"NEMA enclosures + UPS + relays (batch of 10)","$6,000","Year 2-3","Safety hardware kits for appliance product."
Product,Shopify + marketing for Invariant appliance,$500,"Year 2-3","Product page, demo videos, documentation."
,,,,
TOTALS,,,,
One-Time Capital (all equipment + setup + services),,"$130,475",,"Everything to build and commission Cell #1"
Monthly Operating (316L + automotive),"$10,037",,,"All recurring monthly costs including loan + automotive materials"
Annual Operating,,"$120,444",,"Monthly x 12"
Annual Periodic,,"$7,575",,"CPA + leak testing + metrology + maintenance + state filings"
Total Year 1 (capital + 12 months operating + periodic),,"$258,494",,"All-in cost to launch and operate for one year"
Savings/Financing Needed,,"$175,000",,"Equipment loan (~$90K) + savings (~$85K for setup + 6 months runway)"
,,,,
YEAR 2-3 SCALING CAPITAL,,,,
Second Cell (machine + robot + tooling + setup),,"$110,600",,"Funded from Year 1-2 profits. No additional loan needed."
Invariant Appliance Inventory + Launch,,"$12,500",,"First batch of 10 units + marketing."
ISO 9001 Certification,,"$10,000",,"6-12 month process. Funded from profits."
,,,,
REVENUE TARGETS,,,,
Monthly break-even (Cell #1),,"$10,037",,"~29 manifold blocks at $350 avg to cover all costs"
Year 1 revenue (conservative),,"$350,000",,"316L manifolds: 3-4/day x $350 + auto manifolds: 2-3/day x $100"
Year 1 net profit,,"$100,000-$230,000",,"Revenue minus all costs. Pay yourself $75K. Max 401k. Reinvest."
Year 2 revenue (1 machine),,"$700,000-$1,000,000",,"316L: 6-8/day x $400 + auto: 5-8/day x $120"
Year 2 net profit,,"$400,000-$700,000",,"Add second machine mid-year. Max 401k. Reinvest."
Year 3 revenue (2 machines),,"$1,500,000-$2,500,000",,"Both cells running 65-75% utilization + ISO 9001 customers"
Year 3 net profit,,"$800,000-$1,500,000",,"+ Invariant appliance revenue starting"
Year 5 revenue (2-3 machines + appliance),,"$3,000,000-$5,000,000",,"Manufacturing + Invariant product revenue"
Year 5 net profit,,"$1,500,000-$3,000,000",,"The business is real."
